"Station", "Date", "Time", "X", "Y", "Z"
TUD1,2010-01-01,0:0:0,4741779.228,-132733.488,4249843.929
UCA1,2010-01-01,0:0:0,5101025.022,-555217.237,3775803.368
UJAE,2010-01-01,0:0:0,5036325.101,-332899.154,3887177.045
UPNA,2010-01-01,0:0:0,4685467.163,-133789.482,4311640.113
UTI1,2010-01-01,0:0:0,4923207.243,-104440.254,4041273.074
UTIE,2010-01-01,0:0:0,4922873.229,-103857.741,4041693.704
VALA,2010-01-01,0:0:0,4753521.662,-391505.636,4221500.51
VALC,2010-01-01,0:0:0,4895695.624,-622662.286,4027719.58
VALE,2010-01-01,0:0:0,4929534.024,-29050.694,4033709.900
VBLO,2010-01-01,0:0:0,4648840.849,-515301.567,4323298.250
VCIA,2010-01-01,0:0:0,4932702.934,-29607.795,4029833.015
VCRD,2010-01-01,0:0:0,4642968.744,-312434.770,4347614.496
VDGO,2010-01-01,0:0:0,4697595.570,-329356.169,4288633.023
VEG1,2010-01-01,0:0:0,4601456.047,-568981.660,4365325.520
VIAR,2010-01-01,0:0:0,5014599.637,-263899.044,3920551.431
VICA,2010-01-01,0:0:0,5017778.382,-270248.138,3916251.070
VIGO,2010-01-01,0:0:0,4677481.058,-725205.081,4260827.167
VILH,2010-01-01,0:0:0,4975338.585,-246937.852,3971451.324
VITO,2010-01-01,0:0:0,4679398.057,-218437.051,4314897.946
VJOI,2010-01-01,0:0:0,4996056.485,-17297.329,3951708.835
VNAN,2010-01-01,0:0:0,4701243.477,-463395.367,4272263.785
VRO1,2010-01-01,0:0:0,4830179.742,13149.775,4152173.916
VTGD,2010-01-01,0:0:0,4790227.451,-540128.321,4163704.677
VTRO,2010-01-01,0:0:0,4729356.194,-235164.316,4261094.783
XIXO,2010-01-01,0:0:0,4605738.843,-459868.543,4373716.906
YEB1,2010-01-01,0:0:0,4848800.383,-261769.669,4123001.051
YEBE,2010-01-01,0:0:0,4848724.905,-261632.495,4123093.899
ZARA,2010-01-01,0:0:0,4773803.537,-73506.537,4215453.678
ZFRA,2010-01-01,0:0:0,4972357.289,-558621.754,3942963.491
ZGZA,2010-01-01,0:0:0,4772401.620,-72990.258,4217009.974
ZMRA,2010-01-01,0:0:0,4760050.396,-478407.785,4205230.073
ZUER,2010-01-01,0:0:0,4756718.904,-65624.825,4234786.995
EH01,2010-01-01,0:0:0,5372017.916,-1737491.185,2958784.245
EH02,2010-01-01,0:0:0,5368934.792,-1755001.352,2952537.646
FUER,2010-01-01,0:0:0,5446290.992,-1343780.001,3025244.046
GOME,2010-01-01,0:0:0,5381903.078,-1655665.248,2985950.786
GOM1,2010-01-01,0:0:0,5382011.048,-1656575.506,2985115.434
IZAN,2010-01-01,0:0:0,5390243.504,-1596630.313,3007752.560
LALA,2010-01-01,0:0:0,5455457.232,-1375390.889,2994541.347
LPAL,2010-01-01,0:0:0,5326646.328,-1719826.427,3052043.555
LP01,2010-01-01,0:0:0,5340751.169,-1719721.173,3024325.631
LP02,2010-01-01,0:0:0,5328788.222,-1725400.830,3041921.223
LP03,2010-01-01,0:0:0,5335627.218,-1720310.613,3033474.118
LP04,2010-01-01,0:0:0,5337642.256,-1720564.185,3029579.499
LP05,2010-01-01,0:0:0,5333625.015,-1710406.352,3041232.467
LP06,2010-01-01,0:0:0,5338646.625,-1714686.000,3031250.274
LRES,2010-01-01,0:0:0,5378241.432,-1745330.042,2941312.894
LZ01,2010-01-01,0:0:0,5417987.528,-1295971.704,3095575.956
LZ02,2010-01-01,0:0:0,5429402.639,-1306242.237,3071337.791
LZ03,2010-01-01,0:0:0,5422422.413,-1322180.209,3077336.753
MASP,2010-01-01,0:0:0,5439189.124,-1522054.806,2953464.270
TN01,2010-01-01,0:0:0,5386836.448,-1569217.592,3023118.893
TN02,2010-01-01,0:0:0,5381262.034,-1599192.500,3017377.763
TN03,2010-01-01,0:0:0,5395193.059,-1620537.018,2981146.510
TN04,2010-01-01,0:0:0,5393097.577,-1611537.964,2992734.145
TN06,2010-01-01,0:0:0,5379544.658,-1624592.362,3009029.580
TN09,2010-01-01,0:0:0,5384816.467,-1611387.872,3007829.637
TE11,2010-01-01,0:0:0,5389393.463,-1614947.456,2998852.299
ULP2,2010-01-01,0:0:0,5428727.494,-1501064.648,2983480.098
